index,filename,dimensions,format
143,6-3_output\bah\common\texture\f1b0_b1_edge1_n.dds,512x512,BC3_UNORM
143,7-0_output\bah\common\texture\f1b0_b1_edge1_n.dds,512x512,BC7_UNORM
144,6-3_output\bah\common\texture\f1b0_b1_edge2_n.dds,1024x1024,BC3_UNORM
144,7-0_output\bah\common\texture\f1b0_b1_edge2_n.dds,1024x1024,BC7_UNORM
145,6-3_output\bah\common\texture\f1b0_b1_flor1_n.dds,1024x1024,BC3_UNORM
145,7-0_output\bah\common\texture\f1b0_b1_flor1_n.dds,1024x1024,BC7_UNORM
146,6-3_output\bah\common\texture\f1b0_b1_flor2_n.dds,1024x1024,BC3_UNORM
146,7-0_output\bah\common\texture\f1b0_b1_flor2_n.dds,1024x1024,BC7_UNORM
147,6-3_output\bah\common\texture\f1b0_b1_metl2_n.dds,256x256,BC3_UNORM
147,7-0_output\bah\common\texture\f1b0_b1_metl2_n.dds,256x256,BC7_UNORM
148,6-3_output\bah\common\texture\f1b0_b1_wall1_n.dds,1024x1024,BC3_UNORM
148,7-0_output\bah\common\texture\f1b0_b1_wall1_n.dds,1024x1024,BC7_UNORM
149,6-3_output\bah\common\texture\f1b0_b1_wall5_n.dds,1024x1024,BC3_UNORM
149,7-0_output\bah\common\texture\f1b0_b1_wall5_n.dds,1024x1024,BC7_UNORM
150,6-3_output\bah\common\texture\f1b0_t1_cryl1_n.dds,1024x1024,BC3_UNORM
150,7-0_output\bah\common\texture\f1b0_t1_cryl1_n.dds,1024x1024,BC7_UNORM
151,6-3_output\bah\common\texture\f1b0_t1_cryl4_n.dds,512x512,BC3_UNORM
151,7-0_output\bah\common\texture\f1b0_t1_cryl4_n.dds,512x512,BC7_UNORM
152,6-3_output\bah\common\texture\f1b1_p1_otyu1_n.dds,512x1024,BC3_UNORM
152,7-0_output\bah\common\texture\f1b1_p1_otyu1_n.dds,512x1024,BC7_UNORM
153,6-3_output\bah\common\texture\f1b1_p1_otyu2_d.dds,256x256,BC1_UNORM
153,7-0_output\bah\common\texture\f1b1_p1_otyu2_d.dds,256x256,BC7_UNORM
154,6-3_output\bah\common\texture\f1b1_p1_otyu2_n.dds,256x256,BC3_UNORM
154,7-0_output\bah\common\texture\f1b1_p1_otyu2_n.dds,256x256,BC7_UNORM
155,6-3_output\bah\common\texture\f1b2_b1_crys2_d.dds,512x512,BC1_UNORM
155,7-0_output\bah\common\texture\f1b2_b1_crys2_d.dds,512x512,BC7_UNORM
156,6-3_output\bah\common\texture\f1b2_b1_mesh1_d.dds,256x512,BC1_UNORM
156,7-0_output\bah\common\texture\f1b2_b1_mesh1_d.dds,256x512,BC7_UNORM
157,6-3_output\bah\common\texture\f1b3_b1_bgim1_n.dds,512x512,BC3_UNORM
157,7-0_output\bah\common\texture\f1b3_b1_bgim1_n.dds,512x512,BC7_UNORM
158,6-3_output\bah\common\texture\f1b3_b1_flol1_d.dds,4096x4096,BC1_UNORM
158,7-0_output\bah\common\texture\f1b3_b1_flol1_d.dds,4096x4096,BC7_UNORM
159,6-3_output\bah\common\texture\f1b3_b1_flol2_d.dds,1024x2048,BC1_UNORM
159,7-0_output\bah\common\texture\f1b3_b1_flol2_d.dds,1024x2048,BC7_UNORM
160,6-3_output\bah\common\texture\f1b3_b1_iwal1_d.dds,2048x2048,BC1_UNORM
160,7-0_output\bah\common\texture\f1b3_b1_iwal1_d.dds,2048x2048,BC7_UNORM
161,6-3_output\bah\common\texture\f1b3_b1_iwal4_d.dds,2048x2048,BC1_UNORM
161,7-0_output\bah\common\texture\f1b3_b1_iwal4_d.dds,2048x2048,BC7_UNORM
162,6-3_output\bah\common\texture\f1b3_b1_sail1_d.dds,1024x1024,BC1_UNORM
162,7-0_output\bah\common\texture\f1b3_b1_sail1_d.dds,1024x1024,BC7_UNORM
163,6-3_output\bah\common\texture\f1b3_t1_kabe1_n.dds,256x1024,BC3_UNORM
163,7-0_output\bah\common\texture\f1b3_t1_kabe1_n.dds,256x1024,BC7_UNORM
164,6-3_output\bah\common\texture\f1b4_b1_red01_n.dds,1024x1024,BC3_UNORM
164,7-0_output\bah\common\texture\f1b4_b1_red01_n.dds,1024x1024,BC7_UNORM
165,6-3_output\bah\common\texture\f1b4_b1_red02_n.dds,256x1024,BC3_UNORM
165,7-0_output\bah\common\texture\f1b4_b1_red02_n.dds,256x1024,BC7_UNORM
166,6-3_output\bah\common\texture\f1b4_b1_wall1_n.dds,1024x1024,BC3_UNORM
166,7-0_output\bah\common\texture\f1b4_b1_wall1_n.dds,1024x1024,BC7_UNORM
167,6-3_output\bah\common\texture\f1b4_b2_brav1_n.dds,512x256,BC3_UNORM
167,7-0_output\bah\common\texture\f1b4_b2_brav1_n.dds,512x256,BC7_UNORM
168,6-3_output\bah\common\texture\f1b4_b2_flag2_d.dds,512x512,BC1_UNORM
168,7-0_output\bah\common\texture\f1b4_b2_flag2_d.dds,512x512,BC7_UNORM
169,6-3_output\bah\common\texture\f1b4_b2_flag3_d.dds,1024x512,BC1_UNORM
169,7-0_output\bah\common\texture\f1b4_b2_flag3_d.dds,1024x512,BC7_UNORM
170,6-3_output\bah\common\texture\f1b4_b2_gflg1_d.dds,512x512,BC1_UNORM
170,7-0_output\bah\common\texture\f1b4_b2_gflg1_d.dds,512x512,BC7_UNORM
171,6-3_output\bah\common\texture\f1b4_c1_fmet1_d.dds,256x256,BC1_UNORM
171,7-0_output\bah\common\texture\f1b4_c1_fmet1_d.dds,256x256,BC7_UNORM
172,6-3_output\bah\common\texture\f1b4_c1_hire1_d.dds,512x256,BC3_UNORM
172,7-0_output\bah\common\texture\f1b4_c1_hire1_d.dds,512x256,BC7_UNORM
173,6-3_output\bah\common\texture\f1b4_c1_hire1_n.dds,512x256,BC3_UNORM
173,7-0_output\bah\common\texture\f1b4_c1_hire1_n.dds,512x256,BC7_UNORM
174,6-3_output\bah\common\texture\f1b4_c1_tmet1_d.dds,256x256,BC1_UNORM
